run_id,dataset_split,examples,turns,input_tokens,output_tokens,total_tokens,tokenizer,path
20250817T230122Z-703f404-subset-exp,subset_100,120,360,8691,360,9051,heuristic-4chars,experimental-results/old-experiments/20250819T064158Z-6adff16/20250817T230122Z-703f404-subset-exp/traces.jsonl
20250817T231311Z-703f404-fixed-exp,subset_100,120,360,8691,360,9051,heuristic-4chars,experimental-results/old-experiments/20250819T064158Z-6adff16/20250817T231311Z-703f404-fixed-exp/traces.jsonl
manual-test-1755471206,subset_20,20,40,1293,40,1333,heuristic-4chars,experimental-results/old-experiments/20250819T064158Z-6adff16/manual-test-1755471206/traces.jsonl
test-1755471066,test,3,3,12,3,15,heuristic-4chars,experimental-results/old-experiments/20250819T064158Z-6adff16/test-1755471066/traces.jsonl
20250819T070640Z-2afe0a0-fixed,subset_100,123,363,8703,1803,10506,heuristic-4chars,experimental-results/old-experiments/20250819T103022Z-7fff860/20250819T070640Z-2afe0a0-fixed/traces.jsonl
manual-test-1755471206,subset_20,20,40,1293,40,1333,heuristic-4chars,experimental-results/old-experiments/20250819T103022Z-7fff860/manual-test-1755471206/traces.jsonl
smoke-test-1755597580,smoke_test,3,7,169,7,176,heuristic-4chars,experimental-results/old-experiments/20250819T103022Z-7fff860/smoke-test-1755597580/traces.jsonl
subset100-enhanced-1755597666,subset_100,126,293,8204,310,8514,heuristic-4chars,experimental-results/old-experiments/20250819T103022Z-7fff860/subset100-enhanced-1755597666/traces.jsonl
subset20-enhanced-1755597616,subset_20,20,49,1356,49,1405,heuristic-4chars,experimental-results/old-experiments/20250819T103022Z-7fff860/subset20-enhanced-1755597616/traces.jsonl
20250819T102758Z-7fff860,subset_20,33,33,274,33,307,heuristic-4chars,runs/20250819T102758Z-7fff860/traces.jsonl
20250819T204809Z-9146d20,full,130,384,9137,447,9584,heuristic-4chars,runs/20250819T204809Z-9146d20/traces.jsonl
