arm,dataset,samples,final_accuracy,turn_0,turn_1,turn_2
baseline,gsm8k,100,0.29,0.29,,
baseline,gsm8k,20,0.0,0.0,,
baseline,humaneval,20,0.95,0.95,,
baseline,humaneval,20,0.95,0.95,,
confidence_only,gsm8k,100,0.3,0.3,,
confidence_only,gsm8k,20,0.0,0.0,,
confidence_only,humaneval,20,0.9,0.9,,
error_awareness_only,gsm8k,100,0.3,0.3,,
error_awareness_only,gsm8k,20,0.0,0.0,,
error_awareness_only,humaneval,20,0.95,0.95,,
multiturn_only,gsm8k,20,0.0,0.0,0.0,0.0
multiturn_only,gsm8k,100,0.37,0.3,0.05714285714285714,0.045454545454545456
multiturn_only,humaneval,20,0.95,0.95,,
full_system,gsm8k,20,0.0,0.0,0.0,0.0
full_system,humaneval,20,0.95,0.95,,
full_system,gsm8k,100,0.33,0.27,0.0547945205479452,0.028985507246376812
full_system,humaneval,20,0.95,0.95,,
