problem_id,split,final_correct,num_turns,first_try_correct,recoveries,avg_confidence
q1,unknown,False,1,False,False,0.6
q2,unknown,True,1,True,False,0.85
q3,unknown,False,1,False,False,0.85
q4,unknown,False,1,False,False,0.85
q5,unknown,False,1,False,False,0.85
q6,unknown,False,1,False,False,0.6
q7,unknown,True,1,True,False,0.6
q8,unknown,True,1,True,False,0.85
q9,unknown,False,1,False,False,0.85
q10,unknown,False,1,False,False,0.85
q11,unknown,False,1,False,False,0.6
q12,unknown,False,1,False,False,0.85
q13,unknown,False,1,False,False,0.85
q14,unknown,True,1,True,False,0.6
q15,unknown,False,1,False,False,0.85
q16,unknown,False,1,False,False,0.6
q17,unknown,True,1,True,False,0.85
q18,unknown,False,1,False,False,0.85
q19,unknown,False,1,False,False,0.6
q20,unknown,True,1,True,False,0.85
q21,unknown,False,1,False,False,0.85
q22,unknown,False,1,False,False,0.85
q23,unknown,False,1,False,False,0.6
q24,unknown,False,1,False,False,0.85
q25,unknown,False,1,False,False,0.85
q26,unknown,True,1,True,False,0.85
q27,unknown,False,1,False,False,0.85
q28,unknown,False,1,False,False,0.6
q29,unknown,False,1,False,False,0.85
q30,unknown,False,1,False,False,0.85
q31,unknown,False,1,False,False,0.85
q32,unknown,True,1,True,False,0.85
q33,unknown,True,1,True,False,0.6
q34,unknown,True,1,True,False,0.85
q35,unknown,False,1,False,False,0.6
q36,unknown,False,1,False,False,0.6
q37,unknown,False,1,False,False,0.6
q38,unknown,False,1,False,False,0.85
q39,unknown,False,1,False,False,0.6
q40,unknown,False,1,False,False,0.6
q41,unknown,False,1,False,False,0.85
q42,unknown,False,1,False,False,0.85
q43,unknown,False,1,False,False,0.6
q44,unknown,True,1,True,False,0.85
q45,unknown,True,1,True,False,0.6
q46,unknown,False,1,False,False,0.85
q47,unknown,True,1,True,False,0.6
q48,unknown,True,1,True,False,0.85
q49,unknown,False,1,False,False,0.6
q50,unknown,False,1,False,False,0.85
q51,unknown,True,1,True,False,0.6
q52,unknown,False,1,False,False,0.6
q53,unknown,True,1,True,False,0.6
q54,unknown,False,1,False,False,0.85
q55,unknown,False,1,False,False,0.85
q56,unknown,True,1,True,False,0.85
q57,unknown,True,1,True,False,0.85
q58,unknown,False,1,False,False,0.85
q59,unknown,True,1,True,False,0.85
q60,unknown,False,1,False,False,0.85
q61,unknown,True,1,True,False,0.85
q62,unknown,False,1,False,False,0.85
q63,unknown,False,1,False,False,0.6
q64,unknown,False,1,False,False,0.85
q65,unknown,False,1,False,False,0.6
q66,unknown,False,1,False,False,0.85
q67,unknown,False,1,False,False,0.6
q68,unknown,False,1,False,False,0.85
q69,unknown,False,1,False,False,0.85
q70,unknown,False,1,False,False,0.85
q71,unknown,True,1,True,False,0.85
q72,unknown,False,1,False,False,0.85
q73,unknown,False,1,False,False,0.6
q74,unknown,True,1,True,False,0.85
q75,unknown,False,1,False,False,0.85
q76,unknown,True,1,True,False,0.85
q77,unknown,False,1,False,False,0.6
q78,unknown,False,1,False,False,0.85
q79,unknown,True,1,True,False,0.6
q80,unknown,True,1,True,False,0.6
q81,unknown,False,1,False,False,0.85
q82,unknown,True,1,True,False,0.6
q83,unknown,False,1,False,False,0.85
q84,unknown,True,1,True,False,0.85
q85,unknown,False,1,False,False,0.6
q86,unknown,False,1,False,False,0.85
q87,unknown,True,1,True,False,0.85
q88,unknown,True,1,True,False,0.85
q89,unknown,False,1,False,False,0.85
q90,unknown,True,1,True,False,0.85
q91,unknown,False,1,False,False,0.6
q92,unknown,False,1,False,False,0.85
q93,unknown,False,1,False,False,0.6
q94,unknown,False,1,False,False,0.6
q95,unknown,False,1,False,False,0.85
q96,unknown,False,1,False,False,0.6
q97,unknown,True,1,True,False,0.85
q98,unknown,True,1,True,False,0.6
q99,unknown,False,1,False,False,0.6
q100,unknown,False,1,False,False,0.85
